Datang (detik),Mulai (detik),Selesai (detik),,,,,
12:20:08,12:21:33,12:22:30,,,,,
12:20:10,12:22:30,12:22:58,,,,,
12:23:41,12:23:41,12:24:48,,,,,
12:24:34,12:24:48,12:27:06,,,,,
12:27:03,12:27:06,12:28:57,,,,,
12:27:15,12:28:57,12:29:49,,,,,
12:27:16,12:29:49,12:30:35,,,,,
12:29:37,12:30:35,12:30:51,,,,,
12:30:11,12:30:51,12:31:19,,,,,
12:33:03,12:33:03,12:34:03,,,,,
12:33:08,12:34:03,12:34:27,,,,,
12:33:10,12:34:27,12:34:59,,,,,
12:33:17,12:34:59,12:35:01,,,,,
12:33:18,12:35:01,12:35:19,,,,,
12:33:26,12:35:19,12:35:59,,,,,
12:33:34,12:35:59,12:36:46,,,,,
12:35:29,12:36:46,12:36:49,,,,,
12:37:07,12:37:07,12:38:27,,,,,
12:37:15,12:38:27,12:38:45,,,,,
12:38:23,12:38:45,12:38:49,,,,,
12:38:24,12:38:49,12:39:18,,,,,
12:39:09,12:39:18,12:40:35,,,,,
12:39:14,12:40:35,12:40:58,,,,,
12:39:16,12:40:58,12:41:19,,,,,
12:39:53,12:41:19,12:41:52,,,,,
12:39:57,12:41:52,12:42:08,,,,,
12:41:18,12:42:08,12:42:17,,,,,
12:41:37,12:42:17,12:42:50,,,,,
12:42:05,12:42:50,12:44:54,,,,,
12:42:13,12:44:54,12:45:15,,,,,
12:43:08,12:45:15,12:45:39,,,,,
12:43:38,12:45:39,12:45:55,,,,,
12:47:02,12:47:02,12:48:15,,,,,
12:49:08,12:49:08,12:50:48,,,,,
12:51:19,12:51:19,12:53:59,,,,,
12:51:25,12:53:59,12:54:57,,,,,
12:52:27,12:54:57,12:55:01,,,,,
12:54:25,12:55:01,12:55:12,,,,,
12:54:30,12:55:12,12:56:00,,,,,
12:54:34,12:56:00,12:56:55,,,,,
12:54:59,12:56:55,12:57:06,,,,,
12:55:05,12:57:06,12:57:18,,,,,
12:57:00,12:57:18,12:58:05,,,,,
12:58:11,12:58:11,12:58:47,,,,,
12:58:21,12:58:47,12:59:33,,,,,
